ISBN,Title,Author,List,Weeks on List,Publisher
9781524761332,READY PLAYER TWO,Ernest Cline,Combined Print and E-Book Fiction,3,Ballantine Books
9780385545969,A TIME FOR MERCY,John Grisham,Combined Print and E-Book Fiction,9,Doubleday
9780316420259,DEADLY CROSS,James Patterson,Combined Print and E-Book Fiction,3,"Little, Brown and Company"
9780525536291,THE VANISHING HALF,Brit Bennett,Combined Print and E-Book Fiction,28,Harpercollins/Dialogue Books/Tinder Press
9781538728574,THE RETURN,Nicholas Sparks,Combined Print and E-Book Fiction,11,Grand Central Publishing
9781538761694,DAYLIGHT,David Baldacci,Combined Print and E-Book Fiction,4,Grand Central Publishing
9780316485623,THE LAW OF INNOCENCE,Michael Connelly,Combined Print and E-Book Fiction,5,"Little, Brown and Company"
9781984818461,THE SENTINEL,Lee Child and Andrew Child,Combined Print and E-Book Fiction,7,Delacorte Press
9781250272614,THE AWAKENING,Nora Roberts,Combined Print and E-Book Fiction,3,St. Martin's Press
9781449486808,HOME BODY,Rupi Kaur,Combined Print and E-Book Fiction,4,Andrews McMeel Publishing
9780735219090,WHERE THE CRAWDADS SING,Delia Owens,Combined Print and E-Book Fiction,113,Trapeze
9781982154837,FORTUNE AND GLORY,Janet Evanovich,Combined Print and E-Book Fiction,6,Atria Books
9780525559474,THE MIDNIGHT LIBRARY,Matt Haig,Combined Print and E-Book Fiction,3,Canongate Book
9781501160837,ANXIOUS PEOPLE,Fredrik Backman,Combined Print and E-Book Fiction,14,Atria Books
9780765326386,RHYTHM OF WAR,Brandon Sanderson,Combined Print and E-Book Fiction,4,Tor Books
9781524763169,A PROMISED LAND,Barack Obama,Combined Print and E-Book Nonfiction,4,Crown
9780593139134,GREENLIGHTS,Matthew McConaughey,Combined Print and E-Book Nonfiction,8,Crown
9780593136683,BAG MAN,Rachel Maddow and Michael Yarvitz,Combined Print and E-Book Nonfiction,1,Crown
9780316429061,THE LAST DAYS OF JOHN LENNON,James Patterson with Casey Sherman and Dave Wedge,Combined Print and E-Book Nonfiction,1,"Little, Brown and Company"
9781571311931,WORLD OF WONDERS,Aimee Nezhukumatathil,Combined Print and E-Book Nonfiction,1,
9780593230251,CASTE,Isabel Wilkerson,Combined Print and E-Book Nonfiction,19,Random House
9781524763138,BECOMING,Michelle Obama,Combined Print and E-Book Nonfiction,89,Viking / Tinder Press
9781984801258,UNTAMED,Glennon Doyle,Combined Print and E-Book Nonfiction,40,The Dial Press
9780385348713,THE SPLENDID AND THE VILE,Erik Larson,Combined Print and E-Book Nonfiction,28,Crown
9781501145254,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,Combined Print and E-Book Nonfiction,10,Simon & Schuster
9780063046542,MODERN WARRIORS,Pete Hegseth,Combined Print and E-Book Nonfiction,3,Broadside Books
9781627797047,KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Combined Print and E-Book Nonfiction,12,Henry Holt and Co.
9781982112691,IS THIS ANYTHING?,Jerry Seinfeld,Combined Print and E-Book Nonfiction,8,Simon & Schuster
9781250114297,HUMANS,Brandon Stanton,Combined Print and E-Book Nonfiction,8,St. Martin's Press
9781982157999,THE ANSWER IS ...,Alex Trebek,Combined Print and E-Book Nonfiction,7,Simon & Schuster
9780525657606,HAMNET,Maggie O'Farrell,Hardcover Fiction,1,Knopf
9780525954989,THE EVENING AND THE MORNING,Ken Follett,Hardcover Fiction,10,Viking
9781797205090,"DOLLY PARTON, SONGTELLER",Dolly Parton with Robert K Oermann,Hardcover Nonfiction,4,Chronicle Books
9781400030606,THE QUEEN'S GAMBIT,Walter Tevis,Trade Fiction Paperback,5,Vintage
9781501154652,THEN SHE WAS GONE,Lisa Jewell,Trade Fiction Paperback,74,Arrow
9780393356687,THE OVERSTORY,Richard Powers,Trade Fiction Paperback,70,W. W. Norton & Company
9781449474256,MILK AND HONEY,Rupi Kaur,Trade Fiction Paperback,169,Simon & Schuster UK/Andrews McMeel Publishing
9780062060624,THE SONG OF ACHILLES,Madeline Miller,Trade Fiction Paperback,8,Ecco
9780593085141,THE CHICKEN SISTERS,KJ Dell'Antonia,Trade Fiction Paperback,2,G.P. Putnam's Sons
9781250080400,THE NIGHTINGALE,Kristin Hannah,Trade Fiction Paperback,65,Pan
9780307887443,READY PLAYER ONE,Ernest Cline,Trade Fiction Paperback,66,Ballantine Books
9780316556323,CIRCE,Madeline Miller,Trade Fiction Paperback,28,Bloomsbury Publishing
9780802148506,SHUGGIE BAIN,Douglas Stuart,Trade Fiction Paperback,4,Virago/Picador/Canongate Booksr/Canongate Books
9781982110581,THE INSTITUTE,Stephen King,Trade Fiction Paperback,14,Gallery Books
9780399590610,THE WATER DANCER,Ta-Nehisi Coates,Trade Fiction Paperback,3,One World
9780778389378,THE DIPLOMAT'S WIFE,Pam Jenoff,Trade Fiction Paperback,2,Park Row
9781538718711,TEXAS OUTLAW,James Patterson and Andrew Bourelle,Trade Fiction Paperback,5,Grand Central Publishing
9780062300553,HILLBILLY ELEGY,JD Vance,Paperback Nonfiction,58,Harper Paperbacks
9780143127741,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Paperback Nonfiction,112,Penguin Books
9781571313560,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Paperback Nonfiction,35,Milkweed Editions
9780062316110,SAPIENS,Yuval Noah Harari,Paperback Nonfiction,122,Harper Perennial
9780679763888,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,Paperback Nonfiction,50,Vintage
9780525560739,THE TRUTHS WE HOLD,Kamala Harris,Paperback Nonfiction,12,Penguin Books
9780399588198,BORN A CRIME,Trevor Noah,Paperback Nonfiction,96,Bodley Head/Frances Lincoln Children's Books/John Murray
9780812984965,JUST MERCY,Bryan Stevenson,Paperback Nonfiction,232,One World
9780735225312,A WOMAN OF NO IMPORTANCE,Sonia Purnell,Paperback Nonfiction,12,Penguin Books
9780807047415,WHITE FRAGILITY,Robin DiAngelo,Paperback Nonfiction,119,Penguin/Quercus/Two Roads
9781616209940,WHAT UNITES US,Dan Rather and Elliot Kirschner,Paperback Nonfiction,9,Algonquin Books
9781101904213,THE SPY AND THE TRAITOR,Ben Macintyre,Paperback Nonfiction,8,Penguin/Icon Books Ltd
9780374533557,"THINKING, FAST AND SLOW",Daniel Kahneman,Paperback Nonfiction,256,Penguin/Robinson
9781631494536,THE COLOR OF LAW,Richard Rothstein,Paperback Nonfiction,33,Liveright
9780804187060,MODERN COMFORT FOOD,Ina Garten,Advice How-To and Miscellaneous,8,Clarkson Potter
9781250268501,STUFF YOU SHOULD KNOW,Josh Clark and Chuck Bryant with Nils Parker,Advice How-To and Miscellaneous,1,Flatiron Books
9780062968395,THE HAPPY IN A HURRY COOKBOOK,Steve and Kathy Doocy,Advice How-To and Miscellaneous,5,William Morrow Cookbooks
9780062976581,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,Advice How-To and Miscellaneous,52,Ebury Press / Egmont
9780718039875,FORGIVING WHAT YOU CAN'T FORGET,Lysa TerKeurst,Advice How-To and Miscellaneous,2,Thomas Nelson
9780062820181,"MAGNOLIA TABLE, VOL. 2",Joanna Gaines,Advice How-To and Miscellaneous,27,William Morrow Cookbooks
9780735211292,ATOMIC HABITS,James Clear,Advice How-To and Miscellaneous,53,Avery
9781982134488,THINK LIKE A MONK,Jay Shetty,Advice How-To and Miscellaneous,12,Simon & Schuster
9781476753836,SALT FAT ACID HEAT,Samin Nosrat,Advice How-To and Miscellaneous,37,Simon and Schuster
9780063078482,THE GREATEST SECRET,Rhonda Byrne,Advice How-To and Miscellaneous,1,Simon & Schuster UK/Thorsons
9780062498533,THE HATE U GIVE,Angie Thomas,Young Adult Hardcover,191,Balzer + Bray
9780316453691,STAMPED,Jason Reynolds and Ibram X. Kendi,Young Adult Hardcover,31,"Little, Brown Books for Young Readers"
9781984896360,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Young Adult Hardcover,20,Delacorte Press
9781368020039,HOCUS POCUS AND THE ALL-NEW SEQUEL,AW Jantha,Young Adult Hardcover,25,Freeform
9781534466340,ALL THIS TIME,Mikki Daughtry and Rachael Lippincott,Young Adult Hardcover,4,Simon & Schuster Books for Young Readers
9780062996480,PUNCHING THE AIR,Ibi Zoboi and Yusef Salaam,Young Adult Hardcover,7,Balzer + Bray
9781524714680,ONE OF US IS LYING,Karen M. McManus,Young Adult Hardcover,143,Delacorte Press
9781534462724,THE BLACK KIDS,Christina Hammonds Reed,Young Adult Hardcover,3,Simon & Schuster Books for Young Readers
9781481495127,THE LOST BOOK OF THE WHITE,Cassandra Clare and Wesley Chu,Young Adult Hardcover,7,Margaret K. McElderry Books
9781984829665,DEAR JUSTYCE,Nic Stone,Young Adult Hardcover,4,Crown Books for Young Readers
9780385545976,A TIME FOR MERCY,John Grisham,Combined Print and E-Book Fiction,1,Doubleday
9780735224650,THE SEARCHER,Tana French,Combined Print and E-Book Fiction,2,Viking
9780316435581,TROUBLES IN PARADISE,Elin Hilderbrand,Combined Print and E-Book Fiction,2,"Little, Brown and Company"
9781984818355,THE BOOK OF TWO WAYS,Jodi Picoult,Combined Print and E-Book Fiction,4,Ballantine Books
9780765387561,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Combined Print and E-Book Fiction,2,Tor Books
9781488077104,RETURN TO VIRGIN RIVER,Robyn Carr,Combined Print and E-Book Fiction,1,
9781984818751,JINGLE ALL THE WAY,Debbie Macomber,Combined Print and E-Book Fiction,1,Ballantine Books
9781982137335,INVISIBLE GIRL,Lisa Jewell,Combined Print and E-Book Fiction,1,Atria Books
