movieid,genre
527774,Animation
527774,Adventure
527774,Fantasy
527774,Family
527774,Action
587807,Action
587807,Comedy
587807,Family
587807,Animation
587807,Adventure
484718,Comedy
458576,Fantasy
458576,Action
458576,Adventure
464052,Fantasy
464052,Action
464052,Adventure
602269,Thriller
602269,Crime
775996,Thriller
775996,Action
775996,Science Fiction
630586,Horror
630586,Thriller
522444,Horror
522444,Thriller
522444,Adventure
522444,Mystery
651571,Science Fiction
651571,Action
590706,Fantasy
590706,Action
590706,Science Fiction
560144,Science Fiction
560144,Action
495764,Action
495764,Crime
508442,Family
508442,Animation
508442,Comedy
508442,Drama
508442,Music
508442,Fantasy
613504,Romance
613504,Drama
786300,Horror
786300,Fantasy
786300,Drama
786300,TV Movie
529203,Family
529203,Fantasy
529203,Animation
529203,Comedy
664767,Fantasy
664767,Action
664767,Adventure
664767,Animation
621876,Family
621876,Adventure
621876,Comedy
621876,Fantasy
539885,Action
539885,Crime
539885,Drama
539885,Thriller
577922,Action
577922,Thriller
577922,Science Fiction
399566,Action
399566,Science Fiction
682254,Animation
682254,Comedy
682254,Family
682254,Mystery
682254,Adventure
553604,Thriller
553604,Action
553604,Crime
553604,Drama
599281,Thriller
599281,Horror
599281,Drama
299534,Adventure
299534,Science Fiction
299534,Action
38700,Thriller
38700,Action
38700,Crime
520946,Family
520946,Animation
520946,Fantasy
644092,Action
644092,Adventure
644092,Comedy
644092,Family
631939,History
631939,Action
631939,Adventure
531499,Action
531499,Crime
531499,Drama
475557,Crime
475557,Thriller
475557,Drama
666750,Fantasy
666750,Action
666750,Adventure
373571,Science Fiction
373571,Action
621013,Drama
621013,Romance
741228,Comedy
741228,Crime
741228,Drama
737568,Action
737568,Thriller
338762,Action
545609,Drama
545609,Action
545609,Thriller
299536,Adventure
299536,Action
299536,Science Fiction
791373,Action
791373,Adventure
791373,Science Fiction
791373,Fantasy
582306,Science Fiction
582306,Action
582306,Adventure
582306,Mystery
582306,History
582306,Fantasy
615677,Action
615677,Fantasy
615677,Family
615677,Drama
615677,Comedy
384018,Action
384018,Adventure
384018,Comedy
400160,Animation
400160,Fantasy
400160,Adventure
400160,Comedy
400160,Family
583689,Comedy
583689,Drama
583689,Music
531219,Family
531219,Fantasy
531219,Adventure
531219,Comedy
531219,Horror
512200,Adventure
512200,Comedy
512200,Fantasy
506281,Drama
506281,Romance
601666,Comedy
601666,Crime
601666,Thriller
461130,Science Fiction
461130,Action
461130,Crime
461130,Thriller
461130,Drama
335983,Science Fiction
335983,Action
337401,Adventure
337401,Fantasy
290859,Action
290859,Adventure
290859,Science Fiction
723072,Horror
723072,Mystery
443791,Action
443791,Horror
443791,Science Fiction
443791,Thriller
509967,Action
509967,Thriller
429617,Action
429617,Adventure
429617,Science Fiction
9602,Comedy
9602,Romance
581032,Action
581032,Adventure
581032,Drama
581032,Western
732450,Animation
732450,Action
732450,Adventure
732450,Crime
732450,Fantasy
340102,Action
340102,Horror
340102,Science Fiction
489245,Drama
489245,Action
489245,Thriller
607383,Horror
607383,Comedy
